,0
0,993.5992307692309
1,934.2375
2,442.11090909090905
3,566.7727272727273
4,3466.675714285714
5,810.0833333333334
6,713.0
7,1280.7666666666667
8,1054.1870000000001
9,1300.824
10,2818.664166666666
11,1518.61
12,1518.61
13,1647.7975000000001
14,993.5992307692309
15,1300.824
16,590.39375
17,1801.386
18,1050.1414285714286
19,371.12375
20,1540.5366666666666
21,1545.413076923077
22,1647.7975000000001
23,370.38461538461536
24,995.991
25,478.90083333333337
26,345.5918181818182
27,704.9122222222222
28,1054.1870000000001
29,736.1539999999999
30,841.16
31,571.885
32,1242.3025
33,370.38461538461536
34,1867.791666666667
35,559.98625
36,520.73
37,713.0
38,1911.888888888889
39,1046.5
40,704.9122222222222
41,566.7727272727273
42,1198.5384615384614
43,2818.664166666666
44,2494.125
45,2246.6875
46,979.6763636363637
47,736.1539999999999
48,228.89000000000001
49,995.991
50,648.598
51,1114.9183333333333
52,704.9122222222222
53,590.39375
54,321.72727272727275
55,473.3625
56,1867.791666666667
57,2432.1314285714284
58,713.0
59,934.2375
60,481.33666666666664
61,1867.791666666667
62,1280.7666666666667
63,1518.61
64,2525.931111111111
65,1518.61
66,1390.9733333333334
67,648.598
68,889.1783333333333
69,1242.3025
70,736.1539999999999
71,520.73
72,655.2737500000001
73,864.5541666666667
74,1231.825
75,473.3625
76,1031.2133333333334
77,1105.4755555555555
78,2044.4444444444443
79,1329.25
80,994.1607142857143
81,1729.48625
82,520.73
83,3466.675714285714
84,1054.1870000000001
85,473.3625
86,1074.2977777777778
87,1238.7592857142859
88,1511.357142857143
89,1545.413076923077
90,1280.7666666666667
91,766.2236363636365
92,285.3625
93,1105.4755555555555
94,1105.4755555555555
95,473.3625
96,473.3625
97,285.3625
98,993.5992307692309
99,2432.1314285714284
100,473.3625
101,481.33666666666664
102,1050.1414285714286
103,520.73
104,1518.61
105,1530.9575
106,1280.7666666666667
107,736.1539999999999
108,285.3625
109,3466.675714285714
110,2432.1314285714284
111,1452.5
112,979.6763636363637
113,345.5918181818182
114,889.1783333333333
115,699.2516666666667
116,1114.9183333333333
117,520.73
118,648.598
119,1472.4066666666668
120,1801.386
121,641.18625
122,1472.4066666666668
123,1105.4755555555555
124,1001.5
125,566.7727272727273
126,321.72727272727275
127,648.598
128,979.6763636363637
129,555.6255555555555
130,1390.9733333333334
131,713.0
132,1031.2133333333334
133,1530.9575
134,993.5992307692309
135,736.1539999999999
136,1518.61
137,1238.7592857142859
138,713.0
139,2818.664166666666
140,321.72727272727275
141,442.11090909090905
142,1300.824
143,1518.61
144,1496.1577777777777
145,1304.2289999999998
146,1801.386
147,1390.9733333333334
148,671.37625
149,934.2375
150,2029.4983333333332
151,671.37625
152,2014.4919999999997
153,1530.9575
154,566.7727272727273
155,994.1607142857143
156,1046.5
157,671.37625
158,2014.4919999999997
159,1280.7666666666667
160,1452.5
161,571.885
162,803.1912500000001
163,994.1607142857143
164,1911.888888888889
165,1050.1414285714286
166,2432.1314285714284
167,1801.386
168,1231.825
169,3466.675714285714
170,671.37625
171,481.33666666666664
172,827.6666666666666
173,766.2236363636365
174,566.7727272727273
175,2525.931111111111
176,671.37625
177,478.90083333333337
178,648.598
179,1046.5
180,276.40933333333334
181,810.0833333333334
182,2303.2875
183,2818.664166666666
184,478.90083333333337
185,993.5992307692309
186,766.2236363636365
187,1222.08875
188,1198.5384615384614
189,566.7727272727273
190,520.73
191,2246.6875
192,1540.5366666666666
193,837.7516666666667
194,2036.3333333333333
195,2494.125
196,713.0
197,2525.931111111111
198,1452.5
199,610.9388888888889
200,520.73
201,934.2375
202,810.0833333333334
203,276.40933333333334
204,1729.48625
205,1054.1870000000001
206,671.37625
207,641.18625
208,1050.1414285714286
209,1046.5
210,610.9388888888889
211,2432.1314285714284
212,380.21636363636355
213,456.89250000000004
214,699.2516666666667
215,671.37625
216,1304.2289999999998
217,1867.791666666667
218,803.1912500000001
219,1496.1577777777777
220,1545.413076923077
221,1114.9183333333333
222,1054.1870000000001
223,669.7875
224,2029.4983333333332
225,321.72727272727275
226,478.90083333333337
227,520.73
228,1114.9183333333333
229,648.598
230,559.98625
231,2246.6875
232,370.38461538461536
233,889.1783333333333
234,1304.2289999999998
235,669.7875
236,1537.8955555555556
237,1867.791666666667
238,1231.825
239,2303.2875
240,934.2375
241,1050.1414285714286
242,648.598
243,1198.5384615384614
244,276.40933333333334
245,1242.3025
246,1320.4133333333332
247,1545.413076923077
248,1518.61
249,1304.2289999999998
250,371.12375
251,2014.4919999999997
252,1050.1414285714286
253,994.1607142857143
254,837.7516666666667
255,1114.9183333333333
256,1803.5833333333333
257,345.5918181818182
258,1540.5366666666666
259,481.33666666666664
260,321.72727272727275
